Make,Model,sale ,Fuel Type,Transmission,Color,Owner_a,Seller Type,Engine_a,Max Power,Max Torque,Drivetrain,Price USD,Kilometer,Length_a,Width,Height,Seating Capacity,Fuel Tank Capacity,Year_a
Datsun,Redigo S 1.0 AMT [2018-2019],5/23/2023,Gasolina,Automatic,Grey,Second,Individual,999 cc,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,3840.00,42313,3429,1560,1541,5,7.392,2018
BMW,X3 xDrive 20d Luxury Line [2018-2020],4/9/2023,Diesel,Automatic,White,First,Individual,1995 cc,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,AWD,71700.00,18000,4657,1881,1678,5,17.688,2021
Maruti Suzuki,Vitara Brezza ZDi Plus,11/7/2022,Diesel,Manual,White,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,12300.00,90000,3995,1790,1640,5,12.672,2019
Maruti Suzuki,DZire VDi,12/6/2022,Diesel,Manual,Blue,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,7560.00,36000,3995,1735,1515,5,9.768,2017
Hyundai,Venue SX Plus 1.0 Turbo DCT,7/30/2022,Gasolina,Automatic,White,First,Individual,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD,13080.00,26200,3995,1770,1605,5,11.88,2020
Maruti Suzuki,Swift LXi Special Edition,1/16/2021,Gasolina,Manual,Silver,Second,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,8400.00,11000,3840,1735,1530,5,9.768,2019
Maruti Suzuki,Swift VXi,8/12/2022,Gasolina,Manual,Others,First,Individual,1197 cc,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,FWD,7932.00,14366,3845,1735,1530,5,9.768,2021
Mahindra,TUV300 T8,9/25/2020,Diesel,Manual,Red,Second,Individual,1493 cc,84 bhp @ 3750 rpm,230 Nm @ 1500 rpm,RWD,6780.00,65000,3995,1835,1839,7,15.84,2017
Toyota,Innova 2.5 G 7 STR BS-IV,2/20/2018,Diesel,Manual,Silver,First,Individual,2494 cc,100 bhp @ 3600 rpm,200 Nm @ 1400 rpm,RWD,9000.00,126000,4585,1760,1760,7,14.52,2014
Audi,Q3 35 TDI Premium + Sunroof,3/18/2019,Diesel,Automatic,White,Second,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,22200.00,71700,4385,1831,1608,5,16.896,2015
Mahindra,XUV500 W6,2/17/2019,Diesel,Manual,White,First,Individual,2179 cc,138 bhp @ 3750 rpm,330 Nm @ 1600 rpm,FWD,10200.00,114000,4585,1890,1785,7,18.48,2016
Hyundai,Elite i20 Asta 1.4 CRDI [2016-2017],12/15/2018,Diesel,Manual,Grey,First,Individual,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD,6420.00,58339,3985,1734,1505,5,11.88,2016
Maruti Suzuki,DZire VDi AMT,12/6/2020,Diesel,Automatic,Silver,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,9240.00,72040,3995,1735,1515,5,9.768,2019
BMW,3-Series 330i M Sport Edition,2/23/2020,Gasolina,Automatic,White,First,Individual,1998 cc,248 bhp @ 5200 rpm,350 Nm @ 1450 rpm,RWD,43800.00,6000,4633,1811,1429,5,15.048,2019
Kia,Sonet GTX Plus 1.0 iMT [2020-2021],1/12/2023,Gasolina,Manual,Red,First,Individual,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD,14340.00,6200,3995,1790,1647,5,11.88,2022
Skoda,Superb L&K TSI AT,8/12/2022,Gasolina,Automatic,Brown,First,Individual,1798 cc,177 bhp @ 5100 rpm,250 Nm @ 1250 rpm,FWD,38388.00,6900,4861,1864,1483,5,17.424,2021
Mercedes-Benz,E-Class E 200 Exclusive [2019-2019],9/8/2023,Gasolina,Automatic,Grey,First,Individual,1991 cc,194 bhp @ 5800 rpm,300 Nm @ 1600 rpm,RWD,85200.00,2500,5063,1860,1494,5,21.12,2022
Volkswagen,Polo GT TSI,8/12/2020,Gasolina,Automatic,White,First,Individual,1197 cc,103 bhp @ 5000 rpm,175 Nm @ 1500 rpm,FWD,7500.00,68000,3971,1682,1469,5,11.88,2016
Maruti Suzuki,Vitara Brezza VDi,7/23/2023,Diesel,Manual,White,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,8940.00,36000,3995,1790,1640,5,12.672,2018
Hyundai,Santro Sportz,6/2/2023,Gasolina,Manual,White,First,Individual,1086 cc,68 bhp @ 5500 rpm,99 Nm @ 4500 rpm,FWD,6612.00,19000,3610,1645,1560,5,9.24,2021
Mercedes-Benz,E-Class E 220 d Avantgarde,5/27/2023,Diesel,Automatic,White,First,Individual,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD,71400.00,10000,5063,1860,1494,5,21.12,2019
Land Rover,Range Rover 3.0 V6 Diesel Vogue,8/14/2023,Diesel,Automatic,Blue,First,Individual,2993 cc,244 bhp @ 4000 rpm,600 Nm @ 2000 rpm,AWD,264000.00,35000,4999,2220,1835,5,27.72,2019
MINI,Cooper D 3 Door,5/27/2023,Diesel,Automatic,Red,First,Individual,1496 cc,114 bhp @ 4000 rpm,270 Nm @ 1750 rpm,FWD,39600.00,6400,3821,1727,1414,5,11.616,2019
Ford,Endeavour Titanium Plus 3.2 4x4 AT,6/23/2023,Diesel,Automatic,White,First,Individual,3198 cc,197 bhp @ 3000 rpm,470 Nm @ 1750 rpm,AWD,39000.00,34000,4903,1869,1837,7,21.12,2019
Renault,Duster 110 PS RXZ 4X2 AMT Diesel,6/19/2023,Diesel,Automatic,Grey,Second,Individual,1461 cc,108 bhp @ 3900 rpm,248 Nm @ 2250 rpm,FWD,8280.00,35000,4315,1822,1695,5,13.2,2016
Maruti Suzuki,Vitara Brezza VDi AGS,6/17/2023,Diesel,Automatic,White,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,10740.00,46000,3995,1790,1640,5,12.672,2019
Skoda,Rapid Ambition 1.6 TDI CR MT,12/21/2022,Diesel,Manual,White,First,Individual,1598 cc,105 bhp @ 4400 rpm,250 Nm @ 2500 rpm,FWD,6600.00,83000,4386,1699,1466,5,14.52,2016
Kia,Seltos HTX 1.5 [2020-2021],12/1/2022,Gasolina,Manual,Black,First,Individual,1497 cc,113 bhp @ 6300 rpm,144 Nm @ 4500 rpm,FWD,15300.00,42000,4315,1800,1645,5,13.2,2020
Maruti Suzuki,Eeco 5 STR WITH A/C+HTR [2019-2020],2/21/2023,Gasolina,Manual,Silver,First,Individual,1196 cc,73 bhp @ 6000 rpm,101 Nm @ 3000 rpm,RWD,6420.00,41441,3675,1475,1800,5,10.56,2020
Maruti Suzuki,Vitara Brezza VDi,2/3/2023,Diesel,Manual,White,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,9900.00,48174,3995,1790,1640,5,12.672,2018
Ford,Ecosport Ambiente 1.5L TDCi,8/11/2023,Diesel,Manual,Silver,First,Individual,1498 cc,99 bhp @ 3750 rpm,205 Nm @ 1750 rpm,FWD,7020.00,62591,3998,1765,1647,5,13.728,2016
Honda,Jazz V AT Petrol,4/14/2023,Gasolina,Automatic,Brown,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,8100.00,48650,3955,1694,1544,5,10.56,2017
Maruti Suzuki,S-Cross Alpha 1.3,2/23/2023,Diesel,Manual,Brown,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,9540.00,52245,4300,1785,1595,5,12.672,2017
Mercedes-Benz,E-Class E 200 Exclusive [2019-2019],12/23/2022,Gasolina,Automatic,Black,First,Individual,1991 cc,194 bhp @ 5800 rpm,300 Nm @ 1600 rpm,RWD,78000.00,7500,5063,1860,1494,5,21.12,2021
Hyundai,Elite i20 Sportz 1.4 CRDI,8/11/2023,Diesel,Manual,White,First,Individual,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD,7332.00,65000,3985,1734,1505,5,11.88,2017
Maruti Suzuki,Wagon R VXI,6/28/2023,Gasolina,Manual,Red,First,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,4680.00,43297,3599,1495,1700,5,9.24,2015
Maruti Suzuki,Swift VXi [2014-2017],4/14/2023,Gasolina,Manual,White,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,7800.00,44710,3850,1695,1530,5,11.088,2019
Audi,A4 35 TDI Technology,6/17/2023,Diesel,Automatic,Silver,First,Individual,1968 cc,188 bhp @ 4200 rpm,400 Nm @ 1750 rpm,FWD,28800.00,59267,4726,1842,1427,5,14.256,2017
Maruti Suzuki,Swift DZire VXI,2/14/2023,Gasolina,Manual,White,First,Commercial Registration,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,5400.00,75000,3995,1695,1555,5,11.088,2017
Hyundai,Grand i10 Sports Edition 1.2L Kappa VTVT,10/7/2022,Gasolina,Manual,Silver,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,7788.00,52236,3765,1660,1520,5,11.352,2020
Skoda,Kodiaq L&K 2.0 TDI 4x4 AT,8/11/2023,Diesel,Automatic,White,First,Individual,,,,,41988.00,47000,4697,1882,1665,7,16.632,2020
Audi,A3 35 TDI Premium + Sunroof,6/17/2023,Diesel,Automatic,White,First,Individual,1968 cc,141 bhp @ 3500 rpm,320 Nm @ 1750 rpm,FWD,34800.00,15530,4456,1796,1416,5,13.2,2019
Maruti Suzuki,Swift DZire VDI,6/28/2023,Diesel,Manual,White,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,4800.00,64000,3995,1695,1555,5,11.088,2014
Hyundai,Grand i10 NIOS Sportz AMT 1.2 Kappa VTVT,4/30/2023,Gasolina,Automatic,Silver,First,Individual,1197 cc,82 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,7188.00,35000,3805,1680,1520,5,9.768,2020
Toyota,Fortuner 2.8 4x2 MT [2016-2020],7/27/2023,Diesel,Manual,Black,First,Individual,2755 cc,174 bhp @ 3400 rpm,420 Nm @ 1600 rpm,RWD,35760.00,92000,4795,1855,1835,7,21.12,2019
Audi,A4 30 TFSI Technology Pack,8/11/2023,Gasolina,Automatic,White,First,Individual,1395 cc,148 bhp @ 5000 rpm,250 Nm @ 1500 rpm,FWD,42000.00,18000,4726,1842,1427,5,14.256,2018
Honda,Jazz V Petrol,2/3/2023,Gasolina,Manual,Red,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,4800.00,50000,3955,1694,1544,5,10.56,2016
Mercedes-Benz,GLC 200 Progressive,12/22/2022,Gasolina,Automatic,White,First,Individual,1991 cc,194 bhp @ 5500 rpm,320 Nm @ 1650 rpm,RWD,83700.00,2000,4658,1890,1644,5,17.424,2022
Mercedes-Benz,GLE 250 d,2/23/2023,Diesel,Automatic,White,First,Individual,2143 cc,201 bhp @ 3800 rpm,500 Nm @ 1600 rpm,AWD,64800.00,16000,4819,2141,1796,5,24.552,2016
Mercedes-Benz,GL-Class 350 CDI,12/22/2022,Diesel,Automatic,Black,Second,Individual,2987 cc,258 bhp @ 3600 rpm,619 Nm @ 1600 rpm,AWD,44400.00,103890,5120,1934,1850,7,26.4,2015
Maruti Suzuki,Celerio ZXi [2017-2019],3/20/2023,Gasolina,Manual,White,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,5340.00,71000,3600,1600,1560,5,9.24,2018
Mahindra,Thar LX 4-STR Hard Top Diesel MT,5/29/2023,Diesel,Manual,Red,First,Individual,2184 cc,130 bhp @ 3750 rpm,300 Nm @ 1600 rpm,AWD,17700.00,12000,3985,1820,1844,4,15.048,2021
Toyota,Fortuner 2.8 4x2 AT [2016-2020],4/30/2023,Diesel,Automatic,White,First,Individual,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD,33600.00,93000,4795,1855,1835,7,21.12,2016
Maruti Suzuki,Swift VXi [2014-2017],7/27/2023,Gasolina,Manual,White,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,7200.00,10000,3850,1695,1530,5,11.088,2020
Kia,Seltos GTX Plus AT 1.5 Diesel [2019-2020],4/30/2023,Diesel,Automatic,White,First,Individual,1493 cc,114 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,22020.00,33828,4315,1800,1645,5,13.2,2020
Maruti Suzuki,Vitara Brezza ZDi+ Dual Tone [2017-2018],2/3/2023,Diesel,Manual,Red,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,8580.00,71000,3995,1790,1640,5,12.672,2017
Mahindra,XUV700 AX 7 Diesel AT 7 STR,12/21/2022,Diesel,Automatic,White,First,Individual,2184 cc,182 bhp @ 3500 rpm,450 Nm @ 1750 rpm,FWD,30480.00,18000,4695,1890,1755,7,15.84,2022
Hyundai,Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],2/23/2023,Gasolina,Manual,Silver,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,5100.00,48000,3765,1660,1520,5,11.352,2015
Hyundai,Elite i20 Sportz 1.2 IVT,2/23/2023,Gasolina,Automatic,White,First,Individual,1197 cc,87 bhp @ 6000 rpm,115 Nm @ 1500 rpm,FWD,9540.00,4000,3995,1775,1505,5,9.768,2022
Hyundai,Verna Fluidic 1.6 CRDi,2/3/2023,Diesel,Manual,White,First,Individual,1582 cc,128 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,6780.00,68000,4370,1700,1475,5,11.352,2014
BMW,5-Series 520d Luxury Line,12/23/2022,Diesel,Automatic,Blue,Second,Individual,1995 cc,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,30600.00,70000,4899,2094,1464,5,17.16,2015
Hyundai,i20 Active 1.2 S,4/14/2023,Gasolina,Manual,White,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,6348.00,57654,3995,1760,1555,5,11.88,2015
Maruti Suzuki,Alto VXi (O),7/1/2023,Gasolina,Manual,White,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,4800.00,22000,3545,1490,1475,5,9.24,2019
Maruti Suzuki,XL6 Zeta MT Petrol,7/27/2023,Gasolina,Manual,Blue,First,Individual,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,11700.00,41792,4445,1775,1700,6,11.88,2019
BMW,X1 sDrive20d Expedition,6/28/2023,Diesel,Automatic,Blue,First,Individual,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,FWD,31200.00,41000,4439,1821,1612,5,13.464,2017
Kia,Seltos GTX Plus 1.4 [2020-2021],6/28/2023,Gasolina,Manual,White,First,Individual,1353 cc,138 bhp @ 6000 rpm,242 Nm @ 1500 rpm,FWD,18600.00,17000,4315,1800,1645,5,13.2,2019
Maruti Suzuki,Alto VXi AMT,4/25/2023,Gasolina,Automatic,White,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,5160.00,57993,3545,1490,1475,5,9.24,2019
Maruti Suzuki,Baleno Delta 1.2,4/16/2023,Gasolina,Manual,Silver,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,7200.00,32000,3995,1745,1500,5,9.768,2018
Toyota,Corolla Altis VL AT Petrol,7/4/2023,Gasolina,Automatic,Brown,First,Corporate,1798 cc,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,FWD,19800.00,25914,4620,1775,1475,5,14.52,2018
Jaguar,XF 3.0 V6 Premium Luxury,5/23/2023,Diesel,Automatic,Purple,First,Individual,,,,,40200.00,49235,,,,,0,2014
Audi,Q7 Technology 55 TFSI,4/30/2023,Gasolina,Automatic,Black,First,Individual,2995 cc,335 bhp @ 5200 rpm,500 Nm @ 1370 rpm,AWD,112800.00,4500,5064,1970,1703,7,22.44,2022
Maruti Suzuki,Alto VXi,12/21/2022,Gasolina,Manual,White,Second,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3000.00,114000,3620,1475,1460,5,9.24,2014
Mahindra,XUV500 W10 AT,1/17/2023,Diesel,Automatic,Grey,Second,Individual,2179 cc,138 bhp @ 3750 rpm,330 Nm @ 1600 rpm,FWD,11940.00,105000,4585,1890,1785,7,18.48,2016
Maruti Suzuki,Vitara Brezza LDi (O) [2016-2018],12/21/2022,Diesel,Manual,Red,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,8100.00,45000,3995,1790,1640,5,12.672,2016
Maruti Suzuki,Swift DZire VXI,5/23/2023,Gasolina,Manual,Grey,First,Individual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,5460.00,30183,3995,1695,1555,5,11.088,2014
Maruti Suzuki,Wagon R VXI,4/9/2023,Gasolina,Manual,Grey,Second,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,4140.00,73190,3599,1495,1700,5,9.24,2016
BMW,X1 sDrive20i xLine,11/7/2022,Gasolina,Automatic,White,First,Individual,1998 cc,189 bhp @ 5000 rpm,280 Nm @ 1350 rpm,FWD,56400.00,13120,4447,1821,1598,5,13.464,2022
Hyundai,Elantra 1.8 SX MT,12/6/2022,Gasolina,Manual,White,First,Individual,1797 cc,147 bhp @ 6500 rpm,177 Nm @ 4700 rpm,FWD,8400.00,64000,4530,1775,1470,5,14.784,2014
Honda,City E Diesel,5/29/2023,Diesel,Manual,White,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,5988.00,140000,4440,1695,1495,5,10.56,2014
Maruti Suzuki,Ciaz VXi,7/30/2022,Gasolina,Manual,White,First,Individual,1373 cc,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD,7080.00,39000,4490,1730,1485,5,11.352,2015
Nissan,Micra XV CVT [2016-2017],11/30/2021,Gasolina,Automatic,Blue,Second,Individual,1198 cc,76 bhp @ 6000 rpm,104 Nm @ 4400 rpm,FWD,5880.00,56918,3825,1665,1530,5,10.824,2014
Maruti Suzuki,DZire VDi AMT,10/10/2021,Diesel,Automatic,Grey,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,8340.00,55000,3995,1735,1515,5,9.768,2018
Hyundai,Venue SX 1.4 CRDi,2/18/2022,Diesel,Manual,Silver,First,Individual,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD,12300.00,42000,3995,1770,1605,5,11.88,2019
Volkswagen,Tiguan AllSpace 2.0 TSI,10/4/2021,Gasolina,Automatic,Silver,First,Individual,1984 cc,188 bhp @ 4200 rpm,320 Nm @ 1500 rpm,AWD,40500.00,25000,4701,1839,1674,7,15.84,2021
Toyota,Innova 2.4 VX 8 STR [2016-2020],7/30/2022,Diesel,Manual,Maroon,First,Individual,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD,27000.00,28000,4735,1830,1795,8,14.52,2019
Mercedes-Benz,GLA 200 d Sport,12/22/2021,Diesel,Automatic,Grey,Second,Individual,2143 cc,134 bhp @ 3600 rpm,300 Nm @ 1600 rpm,FWD,31800.00,43000,4424,1804,1494,5,13.2,2018
Maruti Suzuki,Baleno Delta 1.2,2/18/2022,Gasolina,Manual,Grey,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,8580.00,16000,3995,1745,1500,5,9.768,2021
Hyundai,Creta SX 1.6 AT CRDi,1/30/2022,Diesel,Automatic,Grey,Second,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD,14400.00,27657,4270,1780,1665,5,14.52,2019
Mercedes-Benz,A-Class A 200d,5/16/2022,Diesel,Automatic,Red,First,Individual,2143 cc,134 bhp @ 3600 rpm,300 Nm @ 1400 rpm,FWD,22200.00,37600,4299,1780,1433,4,13.2,2016
Maruti Suzuki,Baleno Alpha 1.3,7/30/2022,Diesel,Manual,Blue,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,7980.00,48000,3995,1745,1500,5,9.768,2017
Hyundai,Creta EX 1.4 CRDi,1/26/2022,Diesel,Manual,Blue,First,Individual,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD,13080.00,37000,4270,1780,1665,5,14.52,2019
Mercedes-Benz,S-Class S 350 CDI,10/4/2021,Diesel,Automatic,White,First,Individual,2987 cc,255 bhp @ 3600 rpm,620 Nm @ 1600 rpm,RWD,66000.00,54000,5246,1899,1494,5,18.48,2015
Audi,A6 35 TDI Matrix,10/6/2021,Diesel,Automatic,Blue,Second,Individual,1968 cc,190 bhp @ 3800 rpm,400 Nm @ 1750 rpm,FWD,28800.00,81802,4933,1874,1455,5,19.8,2017
Hyundai,Verna SX Plus 1.6 CRDi AT,2/16/2022,Diesel,Automatic,Black,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD,13020.00,45915,4440,1729,1475,5,11.88,2018
Hyundai,Alcazar Signature (O) 6 STR 2.0 Petrol AT,7/30/2022,Gasolina,Automatic,Grey,First,Individual,1999 cc,157 bhp @ 6500 rpm,191 Nm @ 4500 rpm,FWD,25680.00,24000,4500,1790,1675,6,13.2,2021
Honda,Amaze 1.2 V CVT Petrol [2018-2020],8/23/2021,Gasolina,Automatic,Grey,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,9540.00,22224,3995,1695,1501,5,9.24,2019
Honda,Amaze 1.2 S MT Petrol [2018-2020],3/19/2022,Gasolina,Manual,Maroon,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,7536.00,53848,3995,1695,1501,5,9.24,2018
Mercedes-Benz,E-Class E 200,1/6/2022,Gasolina,Automatic,Black,Second,Individual,1991 cc,184 bhp @ 5500 rpm,300 Nm @ 1200 rpm,RWD,28800.00,61159,4879,1854,1474,5,21.12,2016
Honda,City VX (O) MT,10/29/2021,Gasolina,Manual,Brown,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,7140.00,72000,4440,1695,1495,5,10.56,2015
Land Rover,Evoque SE,10/25/2021,Diesel,Automatic,Blue,First,Individual,2179 cc,188 bhp @ 3500 rpm,420 Nm @ 1750 rpm,AWD,41400.00,29000,4465,1900,1635,5,15.048,2016
Honda,WR-V VX MT Petrol,5/23/2022,Gasolina,Manual,Maroon,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,9840.00,42000,3999,1734,1601,5,10.56,2018
Mahindra,XUV300 1.5 W6 [2019-2020],10/6/2021,Diesel,Manual,White,First,Individual,1497 cc,115 bhp @ 3750 rpm,300 Nm @ 1500 rpm,FWD,11400.00,57400,3995,1821,1627,5,11.088,2020
Jaguar,XF Prestige Diesel CBU,1/30/2022,Diesel,Automatic,Silver,Second,Individual,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,RWD,45000.00,13500,5067,2091,1457,5,17.424,2019
Mercedes-Benz,C-Class C200 Progressive,10/31/2021,Gasolina,Automatic,Blue,First,Individual,1991 cc,201 bhp @ 5800 rpm,300 Nm @ 1200 rpm,RWD,59400.00,12400,4686,1810,1442,5,17.424,2021
Jeep,Compass Model S (O) Diesel 4x4 AT,7/30/2022,Diesel,Automatic,White,First,Individual,1956 cc,168 bhp @ 3750 rpm,350 Nm @ 1750 rpm,AWD,35400.00,38000,4405,1818,1640,5,15.84,2021
MG,Hector Sharp 1.5 DCT Petrol [2019-2020],12/4/2021,Gasolina,Automatic,Red,First,Individual,1451 cc,141 bhp @ 5000 rpm,250 Nm @ 1600 rpm,,19500.00,7000,4655,1835,1760,5,15.84,2019
Toyota,Etios Liva GD,3/5/2022,Diesel,Manual,White,First,Individual,1364 cc,67 bhp @ 3800 rpm,170 Nm @ 1800 rpm,FWD,7500.00,76000,3775,1695,1510,5,11.88,2015
Mahindra,XUV500 W10,7/30/2022,Diesel,Manual,Maroon,First,Individual,2179 cc,138 bhp @ 3750 rpm,330 Nm @ 1600 rpm,FWD,17880.00,50000,4585,1890,1785,7,18.48,2018
Mahindra,XUV500 W10 AT,10/27/2021,Diesel,Automatic,Black,First,Individual,2179 cc,138 bhp @ 3750 rpm,330 Nm @ 1600 rpm,FWD,14280.00,41470,4585,1890,1785,7,18.48,2017
Land Rover,Range Rover Sport SDV6 HSE,3/5/2022,Diesel,Automatic,White,Second,Individual,2993 cc,289 bhp @ 4000 rpm,600 Nm @ 2000 rpm,AWD,64500.00,80000,4879,2073,1780,5,20.328,2014
Honda,City ZX CVT Petrol [2017-2019],3/4/2022,Gasolina,Automatic,Silver,First,Corporate,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,13656.00,6000,4440,1695,1495,5,10.56,2018
Audi,A4 1.8 TFSI Multitronic Premium Plus,1/16/2022,Gasolina,Automatic,White,First,Individual,1798 cc,170 bhp @ 3800 rpm,320 Nm @ 1400 rpm,FWD,51000.00,17000,4701,1826,1427,5,16.632,2021
Honda,Brio S MT,8/12/2019,Gasolina,Manual,White,First,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,4380.00,31000,3610,1680,1500,5,9.24,2014
Chevrolet,Cruze LTZ AT,9/25/2020,Diesel,Automatic,White,Second,Individual,1998 cc,164 bhp @ 3800 rpm,380 Nm @ 2000 rpm,FWD,5700.00,73265,4597,1788,1477,5,15.84,2014
Hyundai,Creta SX 1.6 CRDi,2/20/2021,Diesel,Manual,White,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD,14700.00,47000,4270,1780,1665,5,14.52,2019
Maruti Suzuki,Ertiga VDI SHVS,3/18/2018,Diesel,Manual,White,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,8700.00,42000,4296,1695,1685,7,11.88,2017
Mercedes-Benz,GLA 200 CDI Sport,2/17/2020,Diesel,Automatic,White,Second,Individual,2143 cc,134 bhp @ 3600 rpm,300 Nm @ 1600 rpm,FWD,29400.00,25000,4417,1804,1494,5,13.2,2017
Maruti Suzuki,DZire VXi AMT,12/15/2023,Gasolina,Automatic,Silver,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,8340.00,68818,3995,1735,1515,5,9.768,2018
Toyota,Innova 2.8 ZX AT 7 STR [2016-2020],12/6/2020,Diesel,Automatic,Grey,First,Individual,2755 cc,172 bhp @ 3400 rpm,360 Nm @ 1200 rpm,RWD,26400.00,57000,4735,1830,1795,7,14.52,2018
Honda,Amaze 1.5 VX CVT Diesel,2/23/2021,Diesel,Automatic,White,First,Individual,1498 cc,79 bhp @ 3600 rpm,160 Nm @ 1750 rpm,FWD,11400.00,39000,3995,1695,1501,5,9.24,2020
Toyota,Innova ZX 2.7 AT 7 STR,1/12/2023,Gasolina,Automatic,Black,First,Individual,2694 cc,164 bhp @ 5200 rpm,245 Nm @ 4000 rpm,RWD,31176.00,12050,4735,1830,1795,7,17.16,2022
